percent pertubation_type Round CV AUC AUPR
0.75 feature Round--4 CV--5 0.84884 0.68586
0.75 feature Round--5 CV--1 0.77602 0.47586
0.75 feature Round--5 CV--2 0.83795 0.63839
0.75 feature Round--5 CV--3 0.80295 0.50837
0.75 feature Round--5 CV--4 0.82803 0.64396
0.75 feature Round--5 CV--5 0.79696 0.52884
0.75 feature Round--6 CV--1 0.84315 0.63756
0.75 feature Round--6 CV--2 0.80080 0.50942
0.75 feature Round--6 CV--3 0.77933 0.48525
0.75 feature Round--6 CV--4 0.83404 0.66067
0.75 feature Round--6 CV--5 0.78763 0.48673
0.75 feature Round--7 CV--1 0.76285 0.46480
0.75 feature Round--7 CV--2 0.86125 0.65936
0.75 feature Round--7 CV--3 0.78155 0.48201
0.75 feature Round--7 CV--4 0.84443 0.65435
0.75 feature Round--7 CV--5 0.82321 0.61533
0.75 feature Round--8 CV--1 0.79352 0.50201
0.75 feature Round--8 CV--2 0.75363 0.43213
0.75 feature Round--8 CV--3 0.75480 0.46501
0.75 feature Round--8 CV--4 0.79287 0.48472
0.75 feature Round--8 CV--5 0.77196 0.45312
0.75 feature Round--9 CV--1 0.79050 0.51602
0.75 feature Round--9 CV--2 0.78294 0.49422
0.75 feature Round--9 CV--3 0.79099 0.49268
0.75 feature Round--9 CV--4 0.83734 0.64332
0.75 feature Round--9 CV--5 0.77940 0.47111
0.5 feature Round--0 CV--1 0.81432 0.55667
0.5 feature Round--0 CV--2 0.87274 0.72980
0.5 feature Round--0 CV--3 0.83202 0.57488
0.5 feature Round--0 CV--4 0.82932 0.58993
0.5 feature Round--0 CV--5 0.79684 0.52102
0.5 feature Round--1 CV--1 0.85432 0.69627
0.5 feature Round--1 CV--2 0.81355 0.56483
0.5 feature Round--1 CV--3 0.86323 0.70631
0.5 feature Round--1 CV--4 0.85185 0.67561
0.5 feature Round--1 CV--5 0.82723 0.55798
0.5 feature Round--2 CV--1 0.81042 0.55421
0.5 feature Round--2 CV--2 0.80554 0.52052
0.5 feature Round--2 CV--3 0.87062 0.71161
0.5 feature Round--2 CV--4 0.79691 0.51449
0.5 feature Round--2 CV--5 0.81011 0.53815
0.5 feature Round--3 CV--1 0.81915 0.55882
0.5 feature Round--3 CV--2 0.80689 0.53003
