nodes edges methods memory_usage avg_epoch_time
25000 200000 EssSubgraph 0.087890625 2.07067157626152
25000 400000 EssSubgraph 0.109375 2.121639885902405
25000 600000 EssSubgraph 0.11328125 2.1191652429103853
25000 800000 EssSubgraph 0.123046875 2.148159886598587
30000 1000000 EssSubgraph 0.146484375 2.20637961268425
30000 1200000 EssSubgraph 0.13671875 2.227992435693741
30000 1400000 EssSubgraph 0.15234375 2.252936083078384
30000 1600000 EssSubgraph 0.16015625 2.2636389899253846
30000 1800000 EssSubgraph 0.181640625 2.3017968487739564
30000 200000 EssSubgraph 0.091796875 2.114270347356796
30000 400000 EssSubgraph 0.1171875 2.123558067083359
30000 600000 EssSubgraph 0.119140625 2.149477446079254
30000 800000 EssSubgraph 0.142578125 2.1952168679237367
