FAM120B TRAF2
KRTAP4-12 PHLDA1
KLHL42 USHBP1
TRAF2 ZBTB25
L3MBTL2 MEAF6
TRIP10 WBP11
PTBP2 RBM10
GADD45G RWDD2B
ENOX1 SULT1E1
COL4A3BP POM121
CPSF6 PLSCR1
SPEF1 ZBED1
CALCOCO2 LGALS8
DAZAP2 DCUN1D1
RIBC2 TRIM23
CALCOCO2 FBF1
CBS VTA1
PDCD10 STK24
C11orf54 TRIP13
CEBPG MLLT6
EXOC7 HGS
ZNF446 ZSCAN16
CCDC85B KANSL1
KXD1 MAP1LC3B
EWSR1 ZDHHC3
ATF4 GPS2
RBM17 SAT1
FBXO28 TRAF2
MYL6 NUDT21
GTPBP3 RIBC2
DDX19A MDFI
PARD6A PRKCI
EWSR1 MSC
RBPMS STRBP
CCDC85B NEK6
KIAA0408 YWHAG
DTX2 RBPMS
GPRIN2 TRIP13
DTNB TSACC
GRAP2 ZBTB7B
RBPMS TOLLIP
ITM2C RNF7
KRTAP4-12 OTX1
FXR2 RTN3
NUDT18 PCBD1
EWSR1 SLC22A24
GYG1 GYS1
C20orf27 PHKB
QPRT SUFU
HMG20A TESC
EXOC7 ZC3H14
DYDC1 NME5
DCAF8 GTPBP3
ARHGEF15 MOB4
ANXA11 PLSCR1
AP1M1 TIFA
ZBTB43 ZNF417
LDOC1 LNX1
CLDN7 RHOXF2
BAD SFN
CALCOCO2 ZC2HC1C
HNRNPK RBM41
KAT7 VIM
TCHP VIM
HOXA1 MDFI
CALCOCO2 CCDC185
RIBC2 USHBP1
PLSCR1 RASD1
CCDC33 RAD54B
KRT15 SMARCD1
CCDC85B PBXIP1
DYDC1 USHBP1
DVL2 PCBD1
CCDC85B ZNF821
AASDHPPT MDFI
CCDC85B NIF3L1
BIRC2 MAGEA11
CCNK TSC22D4
DCTN2 GADD45A
ZNF446 ZSCAN32
KRT15 KRT6B
CPSF6 GIN1
AGR2 POM121
KLHL12 PRR13
L3MBTL2 PHF10
AP5Z1 MDFI
DTX2 VSNL1
DNMT3L PHPT1
MAGEA1 MIEF1
FZD9 MDFI
CUTC LNX1
CNNM3 HNRNPK
PPP1R37 ZMYND19
LZTS2 RBPMS
NUP54 NUP62
FBXW5 KRTAP4-12
FHL3 PHC2
GABARAPL2 MLX
PRC1 USHBP1
NIF3L1 PRTFDC1
NME1 WDYHV1
AGTRAP PBX3
NAV2 PIAS2
C19orf25 C19orf57
DAZAP2 SEPT2
KIAA0408 SORBS3
APPL1 APPL2
CCDC85B CCNK
DVL2 USP5
CRY1 PLSCR1
HOXB6 SAT1
DCTPP1 WDYHV1
RBM11 RHOXF2
FOXS1 RBPMS
LURAP1 THAP7
PLSCR1 SLC25A6
DMRTB1 EYA2
LLPH NFIC
DPPA2 ZNF250
CCNH SSSCA1
KRT15 PCM1
BLOC1S6 CCDC53
ASUN ZNF655
STX8 VTI1B
CCDC158 GPSM1
FXR2 KCTD4
HK2 UBQLN1
ACTB CFL2
CCDC85B ZNF337
DNAJC10 MAGEA11
PGLS PLSCR1
RALYL THAP1
FXR2 RBPMS
DTX2 PLSCR1
CHIC2 TOP3B
BAZ2B CTBP2
MAGEA11 MXD3
MAPK1IP1L UBE2I
CCDC85B PLOD3
HEBP2 PDCD6
FAM124B TRIM37
C1orf94 DAZAP2
PIN1 TRAF2
ALS2CR11 CCDC85B
FAM127B UBQLN1
MAGEA11 PSMF1
CNKSR1 CYTH3
TCEB3B ZNF165
CALCOCO2 LNX1
NINL SPERT
FRMD6 RASSF8
CCDC85B NGFRAP1
CCNK NECAB2
FAM193B LDOC1
DVL2 POLI
PDLIM7 PSMF1
DAZAP2 FAM46C
EWSR1 MYO1F
CEP70 KAT7
BSCL2 TMEM19
MAGEB18 TRIM37
EWSR1 KXD1
BLOC1S6 EPS8
EMC2 EMC8
AP1M1 FXR2
ABLIM1 VIM
BSCL2 SMIM3
NIF3L1 VIM
DRAP1 NFYB
HOXA1 PLSCR1
BLOC1S6 SKA1
LDOC1 POLL
DTNB NUP62
MAGEA11 NDUFAF1
CCDC85B ZNF165
CEP19 KXD1
PAK7 TUBGCP4
SGTA SPP1
FAM60A GTPBP3
KXD1 MCRS1
DNAJA3 FAM131C
DHPS NIF3L1
RHOXF2 VPS25
CCDC85B TCEANC
CEP63 MBIP
TCEB3B TRIM37
ADAMTSL4 DLK2
C19orf57 RABL6
ABI3 DTNBP1
TRAF2 USP53
FAM124B MDFI
CCDC33 DVL2
KHDRBS3 ZNF408
CEP63 USHBP1
MAGEB18 TP53
DDIT4L SNRPG
MDFI TYMSOS
ACY1 TTC1
NT5C2 NUDT18
EXOC8 KRT20
CREB3 STX8
C18orf25 UBE2I
NFIC TPD52L3
FAM160A2 RTN1
NUDT18 SDPR
HNRNPC KPNA3
WWP1 ZNF638
DFFA NECAB2
LMO3 RALYL
EXOC8 TADA2A
BTG1 CNOT8
DLK2 PLSCR1
CCDC85B SMARCD1
HOXA9 TRIP6
NECAB2 PSMA1
SRPK2 U2AF2
NINL TCEB3
CCDC85B TSPYL4
PLSCR1 SPG7
DNAL4 DYNLL2
PTK2 SOCS2
GABARAPL2 TBC1D5
BLOC1S6 PLEKHF2
C19orf57 GPS2
KIAA0408 TEX11
COPS4 RCBTB2
CCDC85B CFAP53
AP2B1 KIAA0408
C1orf35 SDCBP2
PLOD3 RHOXF2
SPRY2 TRIM51
PACSIN1 PACSIN2
FAM124B TRIP6
NECAP2 TRAF2
KRTAP4-12 SLC25A6
RBPMS ZC3H10
RFX3 TRAF2
GABARAPL2 SQSTM1
APEX2 TRIM37
F11R SGTA
MAD1L1 TEX11
GADD45G TSNAX
AKAP17A MDFI
DDIT3 HSD17B14
MED15 MLLT6
SEC23B SEC24C
PIN1 TSC22D4
GGA2 SPG21
BATF2 DAZAP2
NBR1 VTA1
PAFAH1B2 PAFAH1B3
BEGAIN RIBC2
C10orf10 KRT15
BAHD1 MDFI
HGS KRT19
ACTG1 CFL2
PDE9A TRIM32
FAM50B KPNA3
EWSR1 KHDRBS2
BEND5 GRAP2
PAK7 PDLIM7
FLAD1 TRIM23
LASP1 TRIP13
BSCL2 USE1
DKK1 MDFI
CCDC7 CIAO1
CEP76 PAICS
KRT18 TUBGCP4
IFFO1 XRCC4
PTPN9 RTN3
ARMC7 KCTD13
AKAP17A CCDC85B
AKIRIN2 SPG21
PYROXD1 UPRT
MTUS2 RIBC2
HSD17B14 WDYHV1
DGCR6L KRT19
EBI3 MDFI
LASP1 PLSCR1
BAMBI SOX30
DYNC1I2 DYNLT3
CNOT2 CNOT3
EMD FATE1
EFHC1 TEX11
CCDC101 TADA3
MAGEA4 UQCRB
SAE1 UBA2
GNAI2 MDFI
GAD1 HAAO
NOC4L VIM
AEBP2 LDOC1
ALS2CR11 SSSCA1
MDFI ZNF426
RBPMS RHOXF2
HOOK2 USP2
COMT TRIP13
ARRB1 ZBTB43
MDFI TMEM241
ABI3 RUNX1T1
KRT19 SFI1
CHCHD3 KRTAP4-12
RHOXF2 TOLLIP
BEND7 NIF3L1
CCDC33 NINL
EFEMP2 FAM107A
EXOC8 KRT15
LNX1 SRSF1
CEP70 RCOR3
KAT7 ZNF165
BEGAIN HID1
ENOX1 NIF3L1
NTN4 PLSCR1
MAD1L1 NINL
WDYHV1 XIAP
ASMTL TDO2
BAHD1 KHDRBS3
RTN4IP1 WBP11
CCDC33 RBMX
TRIM39 UBE2D1
SPOP ZBTB16
DNAJB3 EWSR1
TRAPPC3 TRAPPC6A
COX7A2L MAGEA11
CCDC85B TUBGCP4
CPSF6 WWP1
FRMD6 TSC22D4
C10orf82 TEX11
COX17 KATNAL1
ABI2 VCL
EWSR1 FASN
FLAD1 PRTFDC1
MDFI SLC9A1
KLHL12 MED28
APEX2 TRAF2
NUDT18 TIFA
