percent pertubation_type Round CV AUC AUPR
0.25 feature Round--4 CV--3 0.85143 0.61365
0.25 feature Round--4 CV--4 0.86215 0.69008
0.25 feature Round--4 CV--5 0.87209 0.61981
0.25 feature Round--5 CV--1 0.86263 0.60813
0.25 feature Round--5 CV--2 0.86423 0.66507
0.25 feature Round--5 CV--3 0.88430 0.68763
0.25 feature Round--5 CV--4 0.86430 0.65420
0.25 feature Round--5 CV--5 0.87732 0.64147
0.25 feature Round--6 CV--1 0.86681 0.65320
0.25 feature Round--6 CV--2 0.88074 0.63563
0.25 feature Round--6 CV--3 0.88179 0.67429
0.25 feature Round--6 CV--4 0.87118 0.63452
0.25 feature Round--6 CV--5 0.87766 0.72360
0.25 feature Round--7 CV--1 0.86063 0.65782
0.25 feature Round--7 CV--2 0.88109 0.69100
0.25 feature Round--7 CV--3 0.87451 0.67500
0.25 feature Round--7 CV--4 0.87559 0.67297
0.25 feature Round--7 CV--5 0.87225 0.63038
0.25 feature Round--8 CV--1 0.87651 0.64425
0.25 feature Round--8 CV--2 0.85563 0.60736
0.25 feature Round--8 CV--3 0.85307 0.58656
0.25 feature Round--8 CV--4 0.88150 0.68962
0.25 feature Round--8 CV--5 0.87366 0.68562
0.25 feature Round--9 CV--1 0.88462 0.72354
0.25 feature Round--9 CV--2 0.86187 0.62650
0.25 feature Round--9 CV--3 0.86648 0.66158
0.25 feature Round--9 CV--4 0.88257 0.68266
0.25 feature Round--9 CV--5 0.85861 0.63787
0 feature Round--0 CV--1 0.87055 0.65183
0 feature Round--0 CV--2 0.87774 0.65786
0 feature Round--0 CV--3 0.90244 0.67955
0 feature Round--0 CV--4 0.89258 0.69870
0 feature Round--0 CV--5 0.86333 0.65266
0 feature Round--1 CV--1 0.87498 0.67096
0 feature Round--1 CV--2 0.87335 0.62797
0 feature Round--1 CV--3 0.88498 0.67341
0 feature Round--1 CV--4 0.87998 0.66603
0 feature Round--1 CV--5 0.88442 0.67879
0 feature Round--2 CV--1 0.87863 0.65583
0 feature Round--2 CV--2 0.88466 0.67423
0 feature Round--2 CV--3 0.88732 0.69110
0 feature Round--2 CV--4 0.88475 0.64452
0 feature Round--2 CV--5 0.89440 0.67272
0 feature Round--3 CV--1 0.88491 0.68097
0 feature Round--3 CV--2 0.87870 0.65385
0 feature Round--3 CV--3 0.89135 0.65393
0 feature Round--3 CV--4 0.88497 0.66892
0 feature Round--3 CV--5 0.87295 0.66392
0 feature Round--4 CV--1 0.88231 0.67683
0 feature Round--4 CV--2 0.88700 0.71071
0 feature Round--4 CV--3 0.86186 0.65709
0 feature Round--4 CV--4 0.86000 0.63846
0 feature Round--4 CV--5 0.87520 0.65978
0 feature Round--5 CV--1 0.87094 0.65652
0 feature Round--5 CV--2 0.87336 0.69548
0 feature Round--5 CV--3 0.88611 0.68555
0 feature Round--5 CV--4 0.86437 0.63443
0 feature Round--5 CV--5 0.88411 0.69649
0 feature Round--6 CV--1 0.87008 0.65290
0 feature Round--6 CV--2 0.88011 0.66441
0 feature Round--6 CV--3 0.87894 0.65546
0 feature Round--6 CV--4 0.88406 0.69599
0 feature Round--6 CV--5 0.87900 0.71397
0 feature Round--7 CV--1 0.86713 0.69656
0 feature Round--7 CV--2 0.87874 0.64399
0 feature Round--7 CV--3 0.87835 0.68510
0 feature Round--7 CV--4 0.88203 0.69089
0 feature Round--7 CV--5 0.87680 0.65064
0 feature Round--8 CV--1 0.87698 0.66686
0 feature Round--8 CV--2 0.86278 0.66663
0 feature Round--8 CV--3 0.85850 0.58379
0 feature Round--8 CV--4 0.88796 0.69508
0 feature Round--8 CV--5 0.87506 0.65160
0 feature Round--9 CV--1 0.88632 0.71785
0 feature Round--9 CV--2 0.86515 0.62520
0 feature Round--9 CV--3 0.87011 0.65623
0 feature Round--9 CV--4 0.88274 0.65714
0 feature Round--9 CV--5 0.85733 0.60264
1 networkfeature Round--0 CV--1 0.49712 0.22182
1 networkfeature Round--0 CV--2 0.49099 0.20938
1 networkfeature Round--0 CV--3 0.48620 0.21094
1 networkfeature Round--0 CV--4 0.50345 0.23961
1 networkfeature Round--0 CV--5 0.50550 0.21308
1 networkfeature Round--1 CV--1 0.50595 0.22251
1 networkfeature Round--1 CV--2 0.51081 0.22417
1 networkfeature Round--1 CV--3 0.53844 0.24242
1 networkfeature Round--1 CV--4 0.52119 0.22649
1 networkfeature Round--1 CV--5 0.53771 0.23784
1 networkfeature Round--2 CV--1 0.50369 0.22508
1 networkfeature Round--2 CV--2 0.49445 0.21666
1 networkfeature Round--2 CV--3 0.48600 0.22147
1 networkfeature Round--2 CV--4 0.50212 0.22532
1 networkfeature Round--2 CV--5 0.51592 0.22019
1 networkfeature Round--3 CV--1 0.50911 0.22539
1 networkfeature Round--3 CV--2 0.47655 0.20935
1 networkfeature Round--3 CV--3 0.50180 0.22809
1 networkfeature Round--3 CV--4 0.47270 0.21220
1 networkfeature Round--3 CV--5 0.47891 0.20418
1 networkfeature Round--4 CV--1 0.52603 0.21988
1 networkfeature Round--4 CV--2 0.48352 0.22259
1 networkfeature Round--4 CV--3 0.48830 0.21184
1 networkfeature Round--4 CV--4 0.51723 0.22128
1 networkfeature Round--4 CV--5 0.48241 0.21198
1 networkfeature Round--5 CV--1 0.52028 0.23524
1 networkfeature Round--5 CV--2 0.51190 0.21990
1 networkfeature Round--5 CV--3 0.49708 0.21813
1 networkfeature Round--5 CV--4 0.49305 0.22203
1 networkfeature Round--5 CV--5 0.51636 0.22861
1 networkfeature Round--6 CV--1 0.50237 0.23111
1 networkfeature Round--6 CV--2 0.49686 0.21837
1 networkfeature Round--6 CV--3 0.48577 0.22768
1 networkfeature Round--6 CV--4 0.49484 0.22241
1 networkfeature Round--6 CV--5 0.54115 0.25042
1 networkfeature Round--7 CV--1 0.49312 0.21450
