percent pertubation_type Round CV AUC AUPR
0.75 feature Round--7 CV--3 0.81833 0.58396
0.75 feature Round--7 CV--4 0.82605 0.62767
0.75 feature Round--7 CV--5 0.80807 0.57859
0.75 feature Round--8 CV--1 0.83949 0.61496
0.75 feature Round--8 CV--2 0.82640 0.64433
0.75 feature Round--8 CV--3 0.80035 0.58571
0.75 feature Round--8 CV--4 0.82396 0.55673
0.75 feature Round--8 CV--5 0.83391 0.62341
0.75 feature Round--9 CV--1 0.82595 0.54696
0.75 feature Round--9 CV--2 0.83440 0.62136
0.75 feature Round--9 CV--3 0.80891 0.54774
0.75 feature Round--9 CV--4 0.82712 0.59742
0.75 feature Round--9 CV--5 0.81284 0.57530
0.5 feature Round--0 CV--1 0.86481 0.67932
0.5 feature Round--0 CV--2 0.86441 0.66559
0.5 feature Round--0 CV--3 0.86599 0.69483
0.5 feature Round--0 CV--4 0.86820 0.70001
0.5 feature Round--0 CV--5 0.85293 0.67251
0.5 feature Round--1 CV--1 0.85188 0.65577
0.5 feature Round--1 CV--2 0.84936 0.66062
0.5 feature Round--1 CV--3 0.84783 0.61884
0.5 feature Round--1 CV--4 0.84351 0.63575
0.5 feature Round--1 CV--5 0.86405 0.68697
0.5 feature Round--2 CV--1 0.84258 0.62406
0.5 feature Round--2 CV--2 0.86394 0.65839
0.5 feature Round--2 CV--3 0.86137 0.64088
0.5 feature Round--2 CV--4 0.86998 0.68336
0.5 feature Round--2 CV--5 0.86069 0.67987
0.5 feature Round--3 CV--1 0.86378 0.62847
0.5 feature Round--3 CV--2 0.85549 0.66124
0.5 feature Round--3 CV--3 0.87340 0.68180
0.5 feature Round--3 CV--4 0.86683 0.68189
0.5 feature Round--3 CV--5 0.86421 0.62116
0.5 feature Round--4 CV--1 0.87093 0.70841
0.5 feature Round--4 CV--2 0.87751 0.69896
0.5 feature Round--4 CV--3 0.85161 0.68397
0.5 feature Round--4 CV--4 0.83517 0.64058
0.5 feature Round--4 CV--5 0.85029 0.64443
0.5 feature Round--5 CV--1 0.83768 0.58819
0.5 feature Round--5 CV--2 0.85648 0.63965
0.5 feature Round--5 CV--3 0.86556 0.69819
0.5 feature Round--5 CV--4 0.84077 0.66673
0.5 feature Round--5 CV--5 0.87101 0.70275
0.5 feature Round--6 CV--1 0.84818 0.63810
0.5 feature Round--6 CV--2 0.86514 0.68203
0.5 feature Round--6 CV--3 0.86672 0.68710
0.5 feature Round--6 CV--4 0.86429 0.66970
0.5 feature Round--6 CV--5 0.84741 0.64812
0.5 feature Round--7 CV--1 0.85507 0.67837
0.5 feature Round--7 CV--2 0.86717 0.66703
0.5 feature Round--7 CV--3 0.85873 0.68785
0.5 feature Round--7 CV--4 0.85423 0.66124
0.5 feature Round--7 CV--5 0.85543 0.66646
0.5 feature Round--8 CV--1 0.87318 0.70084
0.5 feature Round--8 CV--2 0.85982 0.67867
0.5 feature Round--8 CV--3 0.84647 0.66689
0.5 feature Round--8 CV--4 0.86064 0.61998
0.5 feature Round--8 CV--5 0.85625 0.66288
0.5 feature Round--9 CV--1 0.87006 0.67969
0.5 feature Round--9 CV--2 0.84961 0.64609
0.5 feature Round--9 CV--3 0.85457 0.66039
0.5 feature Round--9 CV--4 0.86813 0.68783
0.5 feature Round--9 CV--5 0.84642 0.67057
0.25 feature Round--0 CV--1 0.87767 0.70044
0.25 feature Round--0 CV--2 0.89928 0.75570
0.25 feature Round--0 CV--3 0.89701 0.76455
0.25 feature Round--0 CV--4 0.90156 0.76636
0.25 feature Round--0 CV--5 0.87099 0.71595
0.25 feature Round--1 CV--1 0.88365 0.71618
0.25 feature Round--1 CV--2 0.87645 0.70262
0.25 feature Round--1 CV--3 0.89261 0.71928
0.25 feature Round--1 CV--4 0.87949 0.70671
0.25 feature Round--1 CV--5 0.89309 0.72752
0.25 feature Round--2 CV--1 0.87625 0.70281
0.25 feature Round--2 CV--2 0.89561 0.72474
0.25 feature Round--2 CV--3 0.89771 0.74178
0.25 feature Round--2 CV--4 0.89506 0.74630
0.25 feature Round--2 CV--5 0.91283 0.76587
0.25 feature Round--3 CV--1 0.88759 0.70509
0.25 feature Round--3 CV--2 0.88655 0.70456
0.25 feature Round--3 CV--3 0.90437 0.74801
0.25 feature Round--3 CV--4 0.89796 0.74298
0.25 feature Round--3 CV--5 0.89165 0.72326
0.25 feature Round--4 CV--1 0.89432 0.73330
0.25 feature Round--4 CV--2 0.88796 0.72736
0.25 feature Round--4 CV--3 0.86415 0.67625
0.25 feature Round--4 CV--4 0.86844 0.69201
0.25 feature Round--4 CV--5 0.89306 0.73395
0.25 feature Round--5 CV--1 0.88373 0.70516
0.25 feature Round--5 CV--2 0.87311 0.70109
0.25 feature Round--5 CV--3 0.89993 0.77535
0.25 feature Round--5 CV--4 0.86638 0.71800
0.25 feature Round--5 CV--5 0.89461 0.75914
0.25 feature Round--6 CV--1 0.88374 0.72178
0.25 feature Round--6 CV--2 0.89828 0.73974
0.25 feature Round--6 CV--3 0.89302 0.72299
0.25 feature Round--6 CV--4 0.88210 0.72939
0.25 feature Round--6 CV--5 0.87333 0.71146
0.25 feature Round--7 CV--1 0.86784 0.70414
0.25 feature Round--7 CV--2 0.89838 0.75194
0.25 feature Round--7 CV--3 0.88295 0.72580
0.25 feature Round--7 CV--4 0.87480 0.69692
0.25 feature Round--7 CV--5 0.88537 0.72335
0.25 feature Round--8 CV--1 0.88957 0.75501
0.25 feature Round--8 CV--2 0.87965 0.73560
0.25 feature Round--8 CV--3 0.86359 0.69659
0.25 feature Round--8 CV--4 0.88862 0.72009
0.25 feature Round--8 CV--5 0.88294 0.73418
0.25 feature Round--9 CV--1 0.89472 0.74270
0.25 feature Round--9 CV--2 0.87946 0.72261
0.25 feature Round--9 CV--3 0.87354 0.73390
0.25 feature Round--9 CV--4 0.88732 0.72351
0.25 feature Round--9 CV--5 0.87229 0.72254
0 feature Round--0 CV--1 0.90247 0.76068
0 feature Round--0 CV--2 0.91528 0.79995
0 feature Round--0 CV--3 0.91750 0.80606
0 feature Round--0 CV--4 0.91597 0.80445
0 feature Round--0 CV--5 0.89514 0.75421
0 feature Round--1 CV--1 0.90080 0.76922
0 feature Round--1 CV--2 0.89679 0.75016
0 feature Round--1 CV--3 0.90346 0.74516
0 feature Round--1 CV--4 0.90572 0.76596
0 feature Round--1 CV--5 0.90456 0.78795
0 feature Round--2 CV--1 0.89260 0.75062
0 feature Round--2 CV--2 0.91392 0.77915
0 feature Round--2 CV--3 0.91819 0.80136
0 feature Round--2 CV--4 0.91047 0.79271
0 feature Round--2 CV--5 0.93276 0.81834
0 feature Round--3 CV--1 0.90445 0.76124
0 feature Round--3 CV--2 0.89508 0.74622
0 feature Round--3 CV--3 0.91628 0.79700
0 feature Round--3 CV--4 0.90758 0.77485
0 feature Round--3 CV--5 0.90399 0.74834
0 feature Round--4 CV--1 0.91301 0.78727
0 feature Round--4 CV--2 0.91132 0.78161
0 feature Round--4 CV--3 0.89500 0.75889
0 feature Round--4 CV--4 0.88256 0.73500
0 feature Round--4 CV--5 0.90160 0.76175
0 feature Round--5 CV--1 0.89406 0.74872
0 feature Round--5 CV--2 0.89738 0.75308
0 feature Round--5 CV--3 0.91674 0.80167
0 feature Round--5 CV--4 0.87549 0.73323
0 feature Round--5 CV--5 0.91010 0.79019
0 feature Round--6 CV--1 0.89407 0.74824
0 feature Round--6 CV--2 0.91332 0.77812
0 feature Round--6 CV--3 0.90829 0.76572
0 feature Round--6 CV--4 0.90063 0.76865
0 feature Round--6 CV--5 0.89800 0.77641
0 feature Round--7 CV--1 0.88640 0.76385
0 feature Round--7 CV--2 0.91336 0.78859
0 feature Round--7 CV--3 0.90472 0.78151
0 feature Round--7 CV--4 0.89974 0.77443
0 feature Round--7 CV--5 0.89554 0.74603
0 feature Round--8 CV--1 0.90468 0.78969
0 feature Round--8 CV--2 0.89515 0.77060
0 feature Round--8 CV--3 0.88870 0.75020
0 feature Round--8 CV--4 0.90156 0.76172
0 feature Round--8 CV--5 0.90163 0.77843
0 feature Round--9 CV--1 0.90768 0.78658
0 feature Round--9 CV--2 0.89792 0.76051
0 feature Round--9 CV--3 0.90310 0.78110
0 feature Round--9 CV--4 0.90643 0.77617
0 feature Round--9 CV--5 0.88872 0.76397
1 networkfeature Round--0 CV--1 0.52942 0.22549
1 networkfeature Round--0 CV--2 0.47574 0.19991
1 networkfeature Round--0 CV--3 0.51119 0.22891
1 networkfeature Round--0 CV--4 0.51554 0.22416
1 networkfeature Round--0 CV--5 0.53496 0.23399
1 networkfeature Round--1 CV--1 0.47129 0.20067
1 networkfeature Round--1 CV--2 0.49388 0.20359
1 networkfeature Round--1 CV--3 0.47590 0.20378
1 networkfeature Round--1 CV--4 0.51484 0.22294
1 networkfeature Round--1 CV--5 0.48153 0.20916
1 networkfeature Round--2 CV--1 0.48274 0.20614
1 networkfeature Round--2 CV--2 0.48742 0.21257
1 networkfeature Round--2 CV--3 0.48368 0.20554
1 networkfeature Round--2 CV--4 0.48641 0.20218
1 networkfeature Round--2 CV--5 0.52335 0.22496
1 networkfeature Round--3 CV--1 0.51497 0.22299
1 networkfeature Round--3 CV--2 0.50020 0.21238
1 networkfeature Round--3 CV--3 0.47133 0.20391
1 networkfeature Round--3 CV--4 0.50855 0.21964
1 networkfeature Round--3 CV--5 0.52625 0.23844
1 networkfeature Round--4 CV--1 0.52504 0.22790
1 networkfeature Round--4 CV--2 0.49788 0.21601
1 networkfeature Round--4 CV--3 0.48951 0.21565
1 networkfeature Round--4 CV--4 0.52465 0.23685
1 networkfeature Round--4 CV--5 0.52381 0.23094
1 networkfeature Round--5 CV--1 0.50493 0.21868
1 networkfeature Round--5 CV--2 0.50340 0.21583
1 networkfeature Round--5 CV--3 0.49604 0.21682
1 networkfeature Round--5 CV--4 0.51133 0.21994
1 networkfeature Round--5 CV--5 0.50920 0.21462
1 networkfeature Round--6 CV--1 0.50396 0.21565
1 networkfeature Round--6 CV--2 0.51201 0.22262
1 networkfeature Round--6 CV--3 0.49573 0.20879
1 networkfeature Round--6 CV--4 0.52025 0.22553
1 networkfeature Round--6 CV--5 0.47233 0.20140
1 networkfeature Round--7 CV--1 0.49483 0.21143
1 networkfeature Round--7 CV--2 0.53532 0.22771
1 networkfeature Round--7 CV--3 0.50328 0.21308
1 networkfeature Round--7 CV--4 0.50729 0.21676
1 networkfeature Round--7 CV--5 0.50935 0.21630
1 networkfeature Round--8 CV--1 0.53188 0.22687
1 networkfeature Round--8 CV--2 0.49672 0.21496
1 networkfeature Round--8 CV--3 0.49956 0.21108
1 networkfeature Round--8 CV--4 0.48948 0.21478
1 networkfeature Round--8 CV--5 0.51041 0.22571
1 networkfeature Round--9 CV--1 0.53912 0.23525
1 networkfeature Round--9 CV--2 0.50124 0.22188
1 networkfeature Round--9 CV--3 0.49393 0.20829
1 networkfeature Round--9 CV--4 0.49911 0.21574
1 networkfeature Round--9 CV--5 0.49912 0.21312
